,Name,Symbol,Weight,Price,Change,Percent
119,Intercontinental Exchange Inc.,ICE,0.190243,   93.83,0.00,(0.00%)
120,Truist Financial Corporation,TFC,0.18876,   36.30,0.00,(0.00%)
121,Global Payments Inc.,GPN,0.18733,   171.88,0.00,(0.00%)
122,Lam Research Corporation,LRCX,0.186899,   345.18,-1.09,(-0.31%)
123,Newmont Corporation,NEM,0.185924,   62.85,-0.07,(-0.11%)
124,Kimberly-Clark Corporation,KMB,0.184522,   144.37,0.00,(0.00%)
125,Sherwin-Williams Company,SHW,0.18206,   613.00,2.91,(0.48%)
126,Dollar General Corporation,DG,0.180058,   188.58,0.10,(0.05%)
127,Northrop Grumman Corporation,NOC,0.178155,   308.00,1.16,(0.38%)
128,Aon Plc Class A,AON,0.17764,   203.66,0.00,(0.00%)
129,Norfolk Southern Corporation,NSC,0.176364,   188.25,0.00,(0.00%)
130,Moody's Corporation,MCO,0.175899,   292.51,0.00,(0.00%)
131,Biogen Inc.,BIIB,0.171683,   283.19,1.31,(0.46%)
132,Estee Lauder Companies Inc. Class A,EL,0.168467,   198.00,0.00,(0.00%)
133,ConocoPhillips,COP,0.167871,   39.97,0.01,(0.03%)
134,Edwards Lifesciences Corporation,EW,0.16778,   74.00,-0.11,(-0.15%)
135,PNC Financial Services Group Inc.,PNC,0.167648,   103.02,0.00,(0.00%)
136,Baxter International Inc.,BAX,0.163898,   87.56,0.00,(0.00%)
137,Analog Devices Inc.,ADI,0.159919,   116.59,-0.16,(-0.14%)
138,Roper Technologies Inc.,ROP,0.157684,   409.06,0.00,(0.00%)
139,American Electric Power Company Inc.,AEP,0.157361,   87.60,0.09,(0.10%)
140,Waste Management Inc.,WM,0.156905,   108.50,-0.20,(-0.18%)
141,DuPont de Nemours Inc.,DD,0.151895,   54.52,0.00,(0.00%)
142,Electronic Arts Inc.,EA,0.150867,   138.69,0.38,(0.27%)
143,Charles Schwab Corporation,SCHW,0.14947,   33.53,0.09,(0.27%)
144,FedEx Corporation,FDX,0.148605,   166.00,0.02,(0.01%)
145,General Mills Inc.,GIS,0.146382,   64.40,-0.24,(-0.37%)
146,eBay Inc.,EBAY,0.145803,   57.83,-0.30,(-0.52%)
147,Centene Corporation,CNC,0.143812,   66.27,0.00,(0.00%)
148,DexCom Inc.,DXCM,0.143548,   425.11,0.68,(0.16%)
149,Emerson Electric Co.,EMR,0.141984,   63.53,0.00,(0.00%)
150,Digital Realty Trust Inc.,DLR,0.141846,   143.75,0.00,(0.00%)
151,Eaton Corp. Plc,ETN,0.140852,   94.57,0.00,(0.00%)
152,Exelon Corporation,EXC,0.138466,   39.46,0.06,(0.15%)
153,L3Harris Technologies Inc,LHX,0.135704,   171.93,1.97,(1.16%)
154,Sempra Energy,SRE,0.135015,   124.82,0.00,(0.00%)
155,General Dynamics Corporation,GD,0.130265,   148.91,0.00,(0.00%)
156,Xcel Energy Inc.,XEL,0.127499,   66.62,0.23,(0.35%)
157,General Motors Company,GM,0.126492,   26.48,0.03,(0.11%)
158,Cognizant Technology Solutions Corporation Class A,CTSH,0.125051,   61.43,0.00,(0.00%)
159,SBA Communications Corp. Class A,SBAC,0.122881,   297.64,0.00,(0.00%)
160,Dow Inc.,DOW,0.121675,   43.66,-0.01,(-0.02%)
161,O'Reilly Automotive Inc.,ORLY,0.120561,   436.98,5.24,(1.21%)
162,MSCI Inc. Class A,MSCI,0.117614,   379.62,0.00,(0.00%)
163,IHS Markit Ltd.,INFO,0.116509,   79.07,0.00,(0.00%)
164,KLA Corporation,KLAC,0.115726,   197.15,-0.05,(-0.03%)
165,Walgreens Boots Alliance Inc,WBA,0.114644,   41.50,0.08,(0.19%)
166,Travelers Companies Inc.,TRV,0.114633,   119.30,0.14,(0.12%)
167,Constellation Brands Inc. Class A,STZ,0.1135,   181.50,0.89,(0.49%)
168,MetLife Inc.,MET,0.113313,   38.47,0.00,(0.00%)
169,T. Rowe Price Group,TROW,0.113109,   132.48,-1.29,(-0.96%)
170,Ross Stores Inc.,ROST,0.113072,   85.02,-0.77,(-0.90%)
171,Amphenol Corporation Class A,APH,0.111989,   102.02,0.00,(0.00%)
172,Bank of New York Mellon Corporation,BK,0.111418,   36.15,0.03,(0.08%)
173,Synopsys Inc.,SNPS,0.109661,   196.00,-0.28,(-0.14%)
174,IDEXX Laboratories Inc.,IDXX,0.108907,   352.93,3.08,(0.88%)
175,Kinder Morgan Inc Class P,KMI,0.108772,   14.96,0.04,(0.27%)
176,Eversource Energy,ES,0.108659,   87.84,0.00,(0.00%)
177,Capital One Financial Corporation,COF,0.108578,   61.63,-0.36,(-0.58%)
178,Allstate Corporation,ALL,0.108304,   91.67,0.00,(0.00%)
179,Chipotle Mexican Grill Inc.,CMG,0.108062,"   1,139.00",2.78,(0.24%)
180,Agilent Technologies Inc.,A,0.10775,   94.52,0.15,(0.16%)
181,Verisk Analytics Inc,VRSK,0.107199,   178.40,0.00,(0.00%)
182,Clorox Company,CLX,0.107081,   228.67,0.29,(0.13%)
183,Phillips 66,PSX,0.106583,   63.85,0.01,(0.02%)
184,HCA Healthcare Inc,HCA,0.106115,   106.06,0.00,(0.00%)
185,TE Connectivity Ltd.,TEL,0.105998,   85.58,0.00,(0.00%)
186,American International Group Inc.,AIG,0.10585,   32.12,0.00,(0.00%)
187,Public Storage,PSA,0.105347,   192.30,0.00,(0.00%)
188,ResMed Inc.,RMD,0.104611,   199.00,0.00,(0.00%)
189,Sysco Corporation,SYY,0.104257,   54.17,0.00,(0.00%)
190,Twitter Inc.,TWTR,0.104185,   35.96,0.15,(0.42%)
191,EOG Resources Inc.,EOG,0.104154,   47.16,0.00,(0.00%)
192,Johnson Controls International plc,JCI,0.104065,   37.67,0.00,(0.00%)
193,Cadence Design Systems Inc.,CDNS,0.103582,   100.30,0.07,(0.07%)
194,WEC Energy Group Inc,WEC,0.103136,   90.53,0.00,(0.00%)
195,PACCAR Inc,PCAR,0.102439,   79.43,0.00,(0.00%)
